Etunimi;Lukumäärä
Anjan;7
Ankit;5
Anmar;5
Anna;10
Ano;145
Anon;6
Anouar;12
Anreas;7
Anrei;7
Anri;9
Ansar;7
Anse;12
Ansel;14
Anseli;12
Anselm;653
Anselmi;2918
Anselmo;34
Anselmus;11
Ansgar;9
Ansgarius;16
Anshelm;90
Anshelmi;9
Ansi;5
Ansio;20
Anskarius;10
Anssi;6853
Anssi-Jukka;6
Anssinpoika;34
Anssi-Pekka;28
Anssi-Petteri;10
Ansu;31
Ansumana;7
Antamo;16
Antanas;5
Antar;7
Ante;119
Ánte;11
Anteri;41
Anterias;6
Antero;137540
Anteronpoika;32
Anterus;27
Anthon;111
Anthoni;13
Anthonio;26
Anthony;809
Anti;13
Antinpoika;720
Anto;118
Antoine;79
Anton;13418
Antone;5
Antoni;169
Antonin;9
Antonino;15
Antonio;935
António;12
Antonios;29
Antonis;21
Antonius;78
Antony;98
Antrea;16
Antreas;82
Antrei;25
Antro;7
Ants;10
Antte;84
Antti;55606
Antti-Aleksi;7
Antti-Eemeli;26
Antti-Eemil;6
Antti-Einari;13
Antti-Heikki;22
Antti-Ilari;11
Antti-Ilmari;9
Antti-Jaakko;18
Antti-Johannes;7
Antti-Juhana;6
Anttijuhani;8
Antti-Juhani;107
Antti-Jukka;16
Anttijussi;21
Antti-Jussi;480
Antti-Kalle;5
Antti-Kustaa;7
Antti-Markus;7
Antti-Matias;13
Anttimatti;6
Antti-Matti;41
Antti-Mikael;19
Antti-Mikko;14
Antti-Olavi;14
Antti-Olli;10
Antti-Oskari;38
Anttipekka;16
Antti-Pekka;439
Antti-Petteri;30
Antti-Sakari;10
Antti-Samuli;5
Antti-Tapani;5
Antti-Tapio;15
Antti-Tuomas;8
Antti-Veikko;28
Antti-Veli;5
Antti-Ville;77
Antto;567
Antton;2107
Anttoni;1919
Anttonio;32
Anttony;11
Anttoo;14
Anttooni;7
Anttu;165
Anuar;19
Anund;5
Anup;5
Anwar;106
Apo;6
Apollo;56
Apollon;12
Apostolos;11
Aqeel;11
Ara;37
Arad;5
Arafat;13
Aral;5
Aram;94
Aramis;24
Aran;33
Aras;46
Arash;46
Araya;6
Araz;19
Arben;22
Arber;15
Arbër;7
Arbnor;16
Arcene;6
Archer;6
Archie;13
Arcturus;7
Arda;61
Ardalan;5
Arden;11
Ardi;12
Ardian;28
Ardit;11
Are;36
Aref;14
Arel;11
Aren;19
Arend;5
Ares;26
Aret;13
Argjend;7
Arham;15
Arhi;29
Arhippa;80
Arho;89
Ari;29679
Aria;10
Arian;99
Arianit;5
Ari-Antti;9
Arie;15
Ariel;224
Arif;64
Ari-Heikki;23
Ari-Jaakko;5
Arijan;5
Arijoutsi;60
Ari-Juha;12
Ari-Juhani;36
Ari-Jukka;99
Ari-Jussi;24
Arik;8
Ari-Kalevi;5
Ari-Kalle;7
Ariko;5
Ari-Kristian;7
Arild;11
Ari-Markus;5
Ari-Martti;5
Arimatti;10
Ari-Matti;290
Ari-Mikael;7
Ari-Mikko;18
Arimo;689
Arin;32
Arinpoika;211
Ario;19
Arion;15
Aripekka;31
Ari-Pekka;1718
Ari-Petri;22
Ari-Petteri;47
Aris;19
Ari-Sakari;6
Ari-Seppo;6
Aristarkus;6
